amendment_indicator,beginning_image_number,candidate_committee_id,coverage_end_date,coverage_start_date,ending_image_number,form_type,receipt_date,report_type,report_year,status_num,sub_id,summary_data_complete_date,summary_data_verification_date,transaction_data_complete_date
,87013380933,H6NJ01048,,,87013380933,F2,1987-09-11T00:00:00,,,1,3032920021021984401,1987-09-15T00:00:00,,
,88013460891,H8FL13060,,,88013460891,F2,1988-04-06T00:00:00,,,1,3032920021021987440,1988-04-13T00:00:00,,
,87013333804,H8MI11148,,,87013333804,F2,1987-07-09T00:00:00,,,1,3032920021021988141,1987-07-13T00:00:00,,
,22992298891,C00353888,,,,F1M,2002-10-18T00:00:00,,,1,4101820021027951779,,2005-07-11T21:19:39,
,88013442813,H0NY30011,,,88013442813,F2,1988-02-10T00:00:00,,,1,3032920021021974777,1988-02-16T00:00:00,,
,87013382207,H8CA44018,,,87013382207,F2,1987-09-25T00:00:00,,,1,3032920021021987228,1987-09-29T00:00:00,,
,11030614112,C00478610,,,11030614112,F99,2011-06-17T00:00:00,,,1,1062020110005880989,2011-06-20T15:41:23,2011-06-21T08:56:47,
,88013450040,H6TX14033,,,88013450040,F2,1988-02-25T00:00:00,,,1,3032920021021986190,1988-03-01T00:00:00,,
,88013513587,H8WA07132,,,88013513587,F2,1988-06-07T00:00:00,,,1,3032920021021989809,1988-06-09T00:00:00,,
,201804169108268213,C00000935,,,201804169108268219,F1,2018-04-16T00:00:00,,,1,4041620181525934570,2018-04-16T00:00:00,2018-04-16T00:00:00,2018-04-16
,83020070948,S4KS00010,,,83020070949,F2,1983-10-07T00:00:00,,,1,3032920021021993129,1985-05-22T00:00:00,,
,88035144091,P80002363,,,88035144092,F2,1988-03-24T00:00:00,,,1,3032920021021991810,1988-03-29T00:00:00,,
,88020012200,S8WA00012,,,88020012201,F2,1988-01-26T00:00:00,,,1,3032920021021994946,1988-02-01T00:00:00,,
,88013462456,H8CA42087,,,88013462456,F2,1988-04-08T00:00:00,,,1,3032920021021987215,1988-04-15T00:00:00,,
,88013452797,H8CA23046,,,88013452797,F2,1988-03-08T00:00:00,,,1,3032920021021987001,1988-03-11T00:00:00,,
,10030530660,C00484568,,,10030530662,F99,2010-01-03T00:00:00,,,1,1010420110005108805,2011-01-04T12:27:01,,
,11030694059,C00448951,,,11030694060,F99,2011-12-14T00:00:00,,,1,1121420110009242959,2011-12-14T14:54:47,,
,88013450039,H8KY07022,,,88013450039,F2,1988-02-22T00:00:00,,,1,3032920021021987857,1988-03-01T00:00:00,,
,88013463290,H8WA03065,,,88013463290,F2,1988-04-12T00:00:00,,,1,3032920021021989760,1988-04-18T00:00:00,,
,86033340860,P80000219,,,86033340861,F2,1986-01-28T00:00:00,,,1,3032920021021991471,1986-01-30T00:00:00,,
,88013394478,H2NC11015,,,88013394478,F2,1988-01-12T00:00:00,,,1,3032920021021977492,1988-01-22T00:00:00,,
,27039343178,C00408286,,,27039343179,F99,2007-01-19T00:00:00,,,0,1012220070000514887,2007-01-22T11:34:47,,
,27039474513,H8TN08033,,,27039474515,F99,2007-07-17T00:00:00,,,0,1072420070000555166,2007-07-24T08:32:11,,
,85033334426,P40000648,,,85033334427,F2,1985-09-19T00:00:00,,,1,3032920021021990895,1985-09-19T00:00:00,,
,81020022426,S4NV00015,,,81020022428,F2,1981-02-10T00:00:00,,,1,3032920021021993312,1985-05-22T00:00:00,,
,88035112750,P80002306,,,88035112751,F2,1988-03-09T00:00:00,,,1,3032920021021991804,1988-03-10T00:00:00,,
,87013324227,H2TX05048,,,87013324227,F2,1987-03-26T00:00:00,,,1,3032920021021978451,1987-03-31T00:00:00,,
,87013380519,H2MI17023,,,87013380519,F2,1987-09-01T00:00:00,,,1,3032920021021977260,1987-09-04T00:00:00,,
,87013382356,H2GA03021,,,87013382356,F2,1987-10-02T00:00:00,,,1,3032920021021976519,1987-10-07T00:00:00,,
,88013460230,H8CA40107,,,88013460230,F2,1988-04-04T00:00:00,,,1,3032920021021987195,1988-04-05T00:00:00,,
,88020092456,S6MT00071,,,88020092457,F2,1988-05-16T00:00:00,,,1,3032920021021993877,1988-05-19T00:00:00,,
,81020063393,S0NH00037,,,81020063396,F2,1981-10-22T00:00:00,,,1,3032920021021992232,1981-10-28T00:00:00,,
,25038891310,C00414193,,,25038891313,F1,2005-08-29T00:00:00,,,0,1083020050000271677,2005-08-30T11:55:43,,
,87013383917,H6MA08141,,,87013383917,F2,1987-10-23T00:00:00,,,1,3032920021021983313,1987-10-28T00:00:00,,
,87013284702,H6OR01027,,,87013284702,F2,1987-01-08T00:00:00,,,1,3032920021021985427,1987-01-12T00:00:00,,
,88013732226,H6PA12030,,,88013732226,F2,1988-12-12T00:00:00,,,1,3032920021021985624,1988-12-21T00:00:00,,
,202102090300368017,C00341792,2020-12-31T00:00:00,2020-11-24T00:00:00,202102090300368023,F3X,2021-01-28T00:00:00,YE,,0,1020920210264170740,2021-02-09T13:08:00,2021-02-10T08:24:00,2021-04-07
,88013495343,H8IL19025,,,88013495343,F2,1988-04-27T00:00:00,,,1,3032920021021987673,1988-04-29T00:00:00,,
,87013321133,H6NY03031,,,87013321133,F2,1987-02-20T00:00:00,,,1,3032920021021984643,1987-02-24T00:00:00,,
,88013400967,H8OH05036,,,88013400967,F2,1988-01-21T00:00:00,,,1,3032920021021989003,1988-01-27T00:00:00,,
,92038010512,P20000089,,,92038010514,F2,1992-11-03T00:00:00,,,1,3040120021023027444,1995-04-18T00:00:00,,
,88013514631,H8AK00041,,,88013514631,F2,1988-06-15T00:00:00,,,1,3032920021021986691,1988-06-17T00:00:00,,
,85020091915,S6MD00066,,,85020091916,F2,1985-10-04T00:00:00,,,1,3032920021021993782,1985-10-04T00:00:00,,
,87013331109,H4NC06011,,,87013331109,F2,1987-04-29T00:00:00,,,1,3032920021021980111,1987-05-04T00:00:00,,
,88013683311,H8AR04072,,,88013683311,F2,1988-10-28T00:00:00,,,1,3032920021021986764,1988-11-03T00:00:00,,
,27039343246,C00412460,,,27039343247,F99,2007-01-19T00:00:00,,,0,1012220070000514922,2007-01-22T11:46:29,,
,88013502493,H8SC05042,,,88013502493,F2,1988-05-18T00:00:00,,,1,3032920021021989395,1988-05-19T00:00:00,,
,88035582435,P80000326,,,88035582435,F2,1988-11-03T00:00:00,,,1,3032920021021991499,1988-11-04T00:00:00,,
,10030491512,C00474684,,,10030491513,F99,2010-11-12T00:00:00,,,1,1111220100004856319,2010-11-12T14:28:57,,
,88035481929,P80001068,,,88035481930,F2,1988-10-11T00:00:00,,,1,3032920021021991643,1988-10-12T00:00:00,,
,87034253419,P80000771,,,87034253420,F2,1987-03-11T00:00:00,,,1,3032920021021991596,1987-03-13T00:00:00,,
,87034702367,P80001076,,,87034702368,F2,1987-06-29T00:00:00,,,1,3032920021021991645,1987-07-01T00:00:00,,
,88035312929,P80002496,,,88035312930,F2,1988-06-24T00:00:00,,,1,3032920021021991828,1988-06-27T00:00:00,,
